X,Y,Plant_Code,Plant_Name,State,Zip,PrimSource
-71.7,42.1,61297,Upton Community Solar,Massachusetts,1568,solar
-74.675089,40.92635,63198,ACCP NJ 1,New Jersey,7843,solar
-71.987015,42.322246,61298,Pleasantdale Road Community Solar,Massachusetts,1543,solar
-72.7,42.3,61299,Hatfield Renewables Community Solar,Massachusetts,1038,solar
-74.150011,41.079073,63200,"Bergenmand Solar Partners, LLC Mahwah",New Jersey,7430,solar
-84.9769,40.319,61303,Bluff Point Wind Facility,Indiana,47371,wind
-72.3,42.1,61307,Peterson Road Solar,Massachusetts,1069,solar
-73.1,44.916666,63203,VPPSA Project 10,Vermont,5677,petroleum
-122.214014,38.160858,62687,American Canyon Solar,California,94503,solar
-72,42.1,61308,Sampson Road Community Solar,Massachusetts,1507,solar
-121.738616,37.228736,62688,Malech Solar Farm,California,95138,solar
-97.05,32.82,61309,IKEA Grand Prairie Rooftop PV System,Texas,75052,solar
-121.81508,37.286958,62689,Hellyer Solar Farm,California,95111,solar
-84.613255,38.751822,61310,Crittenden Solar Facility,Kentucky,41035,solar
-121.861079,37.269039,62690,Guadalupe Solar Farm,California,95136,solar
-84.592263,38.85018,61311,Walton 1 Solar Facility,Kentucky,41094,solar
-76.033,36.27,62691,Shiloh Hwy Solar,North Carolina,27973,solar
-119.566896,36.140764,63204,CID Solar (CA),California,93212,solar
-84.592263,38.85018,61312,Walton 2 Solar Facility,Kentucky,41094,solar
-76.058,36.33,62692,Sandy Solar,North Carolina,27973,solar
-122.664447,46.85074,63205,Skookumchuck Wind Facility,Washington,98576,wind
-94.696892,39.166436,61313,BPU Solar Farm,Kansas,66104,solar
-76.602304,36.283778,62693,Chowan Jehu Solar,North Carolina,27980,solar
-123.007913,44.859838,63206,Rafael Solar,Oregon,97317,solar
-122.912,45.172,63207,Case Creek Solar,Oregon,97071,solar
-72.71064,42.3057,62695,CED Northampton Solar LLC Hybrid,Massachusetts,1035,solar
-104.55095,40.386197,61314,SR Kersey,Colorado,80644,solar
-92.979196,44.531686,62696,FastSun 2 CSG,Minnesota,55065,solar
-121.96238,37.38633,62697,Mission College Blvd. Fuel Cell,California,95054,natural gas
-72,42.4,61315,Golden Hills Solar,Massachusetts,1543,solar
-117.84531,33.85098,62698,Kaiser East La Palma Ave. Fuel Cell,California,92806,natural gas
-93.726825,39.002139,61316,Higginsville Solar Farm,Missouri,64037,solar
-121.77182,37.95169,62699,Kaiser Deer Valley Rd. Fuel Cell,California,94531,natural gas
-122.904,45.083,63208,Kale Patch Solar,Oregon,97305,solar
-78.660158,38.739621,61318,Mt. Jackson Solar,Virginia,23229,solar
-121.89419,37.69923,62700,Kaiser Owens Dr. Fuel Cell,California,94588,natural gas
-100.69729,31.79261,63209,Aviator Wind,Texas,76945,wind
-95.193426,33.25102,63211,Samson Solar Energy,Texas,75435,solar
