Lon,Lat,NAMELSAD
-118.1643641,33.81920229,Los Angeles County
-118.1498197,33.78133053,Los Angeles County
-117.9109461,34.13604586,Los Angeles County
-118.1712114,33.99961503,Los Angeles County
-117.9907761,34.05052838,Los Angeles County
-118.2275295,34.00810574,Los Angeles County
-118.3973342,34.0731289,Los Angeles County
-118.1405681,33.83038656,Los Angeles County
-118.06401,33.85077402,Los Angeles County
-118.1722789,33.79314877,Los Angeles County
-117.9872804,34.13379802,Los Angeles County
-118.1299057,33.93731568,Los Angeles County
-117.9398895,34.1271721,Los Angeles County
-118.3258829,33.88055076,Los Angeles County
-118.0843086,33.86007925,Los Angeles County
-118.3118682,33.90252379,Los Angeles County
-118.1520507,33.76697406,Los Angeles County
-118.2062764,33.90011631,Los Angeles County
-118.2322842,33.95650731,Los Angeles County
-118.229778,33.77486919,Los Angeles County
-118.047069,33.90319501,Los Angeles County
-118.2169821,33.86398483,Los Angeles County
-118.1716782,33.81660822,Los Angeles County
-118.2378628,33.75941402,Los Angeles County
-118.1832932,33.77861447,Los Angeles County
-118.4141553,33.91260297,Los Angeles County
-117.8719909,34.11901471,Los Angeles County
-118.1071449,33.79574877,Los Angeles County
-118.1085203,33.78410009,Los Angeles County
-118.4721561,34.02561317,Los Angeles County
-118.2203333,33.7568199,Los Angeles County
-118.2065258,34.00414636,Los Angeles County
-118.1653359,33.86341862,Los Angeles County
-118.1203648,33.88369974,Los Angeles County
-117.8795847,34.09258019,Los Angeles County
-118.3187593,33.92406834,Los Angeles County
-118.7149439,34.10697209,Los Angeles County
-118.3731939,33.76694457,Los Angeles County
-117.9891722,34.05755342,Los Angeles County
-118.1942652,33.96384263,Los Angeles County
-118.40261,34.01457592,Los Angeles County
-117.9336277,34.11389987,Los Angeles County
-118.2889766,34.71797092,Los Angeles County
-117.8112369,34.00294768,Los Angeles County
-118.2229677,33.76219353,Los Angeles County
-118.3779075,33.87232911,Los Angeles County
-118.2230313,33.86247615,Los Angeles County
-118.3826717,33.92228339,Los Angeles County
-118.1442684,33.89897697,Los Angeles County
-118.0857225,34.16225829,Los Angeles County
-118.6163972,34.49113968,Los Angeles County
-118.090471,33.87990599,Los Angeles County
-118.3620587,33.91580073,Los Angeles County
-118.215484,33.92829702,Los Angeles County
-118.2332985,33.82143255,Los Angeles County
-118.6082972,34.51456388,Los Angeles County
-118.226704,33.9959959,Los Angeles County
-118.3828843,33.89928827,Los Angeles County
-118.1113506,33.96155128,Los Angeles County
-117.7552801,34.0582889,Los Angeles County
-117.7756362,34.05753246,Los Angeles County
-118.1498524,34.12496383,Los Angeles County
-118.2331894,33.8073843,Los Angeles County
-118.8271055,34.79054444,Los Angeles County
-118.0418247,34.08150219,Los Angeles County
-118.0474627,33.8810914,Los Angeles County
-118.1421862,33.79104783,Los Angeles County
-118.1138639,34.61192881,Los Angeles County
-118.0250218,34.02427906,Los Angeles County
-118.3071692,33.92261915,Los Angeles County
-118.3918007,33.91171863,Los Angeles County
-118.3404907,33.81046975,Los Angeles County
-118.148285,33.911845,Los Angeles County
-117.9677135,34.03341675,Los Angeles County
-118.3581035,33.96564841,Los Angeles County
-118.1594037,33.80134174,Los Angeles County
-118.2481891,33.8795048,Los Angeles County
-118.1679679,34.21350946,Los Angeles County
-118.0255447,34.03710332,Los Angeles County
-118.2035779,34.01497467,Los Angeles County
-118.2104934,34.20527032,Los Angeles County
-118.0144049,33.88863032,Los Angeles County
-118.124653,33.83024406,Los Angeles County
-118.1456041,34.70049983,Los Angeles County
