PlantCode,GenID,power_gen,bus,FuelType,Pg,Pmax,Pmin,Qg,Qmax,Qmin,Lat,Lon
60060,SDIAA,0.775754035988429,1521,Solar Photovoltaic,0.544941499,0.775753044,0,0,10.2,-7.0,32.729238,-117.207718
60060,SDIAB,0.6464618619884289,1521,Solar Photovoltaic,0.454117916,0.64646087,0,0,10.2,-7.0,32.729238,-117.207718
60077,AVCA,20.428164491313698,317,Solar Photovoltaic,14.3501261,20.4281635,0,0,10.2,-7.0,35.996324,-120.15146
60078,DU1CA,25.858435791981833,8865,Solar Photovoltaic,18.1647166,25.8584348,0,0,10.2,-7.0,35.856278,-119.068414
60079,DU2CA,25.858435791981833,8865,Solar Photovoltaic,18.1647166,25.8584348,0,0,10.2,-7.0,35.844167,-119.068069
60080,DU3CA,19.393827091981823,8865,Solar Photovoltaic,13.6235375,19.3938261,0,0,10.2,-7.0,35.845378,-119.056992
60081,DU4CA,25.858435791981833,8865,Solar Photovoltaic,18.1647166,25.8584348,0,0,10.2,-7.0,35.850403,-119.026992
60085,PV1,4.783811429570772,503,Solar Photovoltaic,3.36047258,4.78381044,0,0,10.2,-7.0,34.748894,-117.973571
60086,PV1,3.878766209618091,478,Solar Photovoltaic,2.7247075,3.87876522,0,0,10.2,-7.0,34.66072,-118.081152
60091,GEN01,25.858435791433248,2314,Solar Photovoltaic,18.1647166,25.8584348,0,0,10.2,-7.0,34.824206,-118.438547
60092,BLCK4,42.92500279137724,8185,Solar Photovoltaic,30.1534296,42.9250018,0,0,10.2,-7.0,33.68,-114.73
60092,BLCK5,43.83004799137724,8185,Solar Photovoltaic,30.7891947,43.830047,0,0,10.2,-7.0,33.68,-114.73
60092,BLCK6,41.37349669137724,8185,Solar Photovoltaic,29.0635466,41.3734957,0,0,10.2,-7.0,33.68,-114.73
60092,BLCK7,41.50278889137724,8185,Solar Photovoltaic,29.1543702,41.5027879,0,0,10.2,-7.0,33.68,-114.73
60093,BLCK1,50.03607229137725,8185,Solar Photovoltaic,35.1487267,50.0360713,0,0,10.2,-7.0,33.68,-114.742
60093,BLCK2,46.933060191377244,8185,Solar Photovoltaic,32.9689607,46.9330592,0,0,10.2,-7.0,33.68,-114.742
60093,BLCK3,44.99367759137724,8185,Solar Photovoltaic,31.6066069,44.9936766,0,0,10.2,-7.0,33.68,-114.742
60120,MB-16,-9.681042355725836e-07,699,Other Natural Gas,0.0,1.4,0,0,0.0,0.0,33.788,-117.8901
60142,LEPV1,1.939383601434581,322,Solar Photovoltaic,1.36235375,1.93938261,0,0,10.2,-7.0,36.257938,-119.798139
60151,BLDGF,1.6807992518859691,385,Solar Photovoltaic,1.18070658,1.68079826,0,0,10.2,-7.0,33.914356,-118.050189
60153,BLDGG,1.5515070818859686,385,Solar Photovoltaic,1.089883,1.55150609,0,0,10.2,-7.0,33.912917,-118.050561
60154,BLDG1,1.2929227318859688,385,Solar Photovoltaic,0.908235832,1.29292174,0,0,10.2,-7.0,33.912917,-118.041944
60182,DULLE,2.5858444716426017,1998,Solar Photovoltaic,1.81647166,2.58584348,0,0,10.2,-7.0,34.030119,-117.517753
60183,FSPRI,2.585844471885969,385,Solar Photovoltaic,1.81647166,2.58584348,0,0,10.2,-7.0,33.892614,-118.037564
60185,SOLV1,109.89834909041673,8340,Solar Photovoltaic,77.2000457,109.898348,0,0,10.2,-7.0,34.655694,-118.298166
60186,DSR1,64.64608799143325,8340,Solar Photovoltaic,45.4117916,64.646087,0,0,10.2,-7.0,34.655556,-118.280722
60187,DSR2,6.46460969143325,8340,Solar Photovoltaic,4.54117916,6.4646087,0,0,10.2,-7.0,34.686944,-118.311722
