,PlantCode,GenID,bus,FuelType,Pg,Pmax,Pmin,Qg,Qmax,Qmin,Lat,Lon,pow_gen,gen_carbon_emission_rate
252,50216,GN95,363,Natural Gas Fired Combined Cycle,20.3412983,38.5,0,0,18.6,-12.8,33.816647,-118.244841,38.50000097,0.44
253,50216,GN96,363,Natural Gas Fired Combined Cycle,20.3412983,38.5,0,0,18.6,-12.8,33.816647,-118.244841,38.50000097,0.44
254,50224,7610,1895,Other Waste Biomass,0.0,0.5,0,0,13.9,-9.5,34.140501,-119.184529,0.47366346,0.23
255,50224,7710,1895,Other Waste Biomass,0.0,0.5,0,0,13.9,-9.5,34.140501,-119.184529,0.47366346,0.23
256,50224,7810,1895,Other Waste Biomass,0.0,0.5,0,0,13.9,-9.5,34.140501,-119.184529,0.47366346,0.23
257,50234,2074,1040,Natural Gas Internal Combustion Engine,0.900006589,0.9,0,0,61.5666667,-27.3666667,34.1019,-117.6381,0.900000984,0.44
258,50234,2075,1040,Natural Gas Internal Combustion Engine,0.900006589,0.9,0,0,61.5666667,-27.3666667,34.1019,-117.6381,0.900000984,0.44
259,50234,2076,1040,Natural Gas Internal Combustion Engine,0.900006589,0.9,0,0,61.5666667,-27.3666667,34.1019,-117.6381,0.900000984,0.44
260,50293,GEN1,68,Other Waste Biomass,0.0,29.1,0,0,13.9,-9.5,39.1062,-122.1096,29.10000093,0.23
261,50300,BESS1,525,Batteries,18.2432044,20.0,0,0,0.0,0.0,34.059444,-117.774167,20.00000098,0.0
262,50363,L313,8472,Wood/Wood Waste Biomass,0.0,21.0,0,0,0.0,0.0,32.903826,-115.511949,20.99999992,0.23
263,50388,GEN1,76,Petroleum Coke,0.0,27.3,0,0,16.9,-9.1,38.018056,-122.2344,24.00000079,0.656
264,50464,GEN1,1893,Natural Gas Fired Combustion Turbine,2.19389114,19.2,0,0,24.5645161,-14.3219355,34.196,-119.1667,19.20000098,0.44
265,50464,GEN2,1893,Natural Gas Fired Combustion Turbine,49.500362,49.5,0,0,30.7,-16.5,34.196,-119.1667,49.50000098,0.44
266,50492,1,1522,Other Waste Biomass,0.0,2.3,0,0,13.9,-9.5,32.679172,-117.246698,2.300000996,0.23
267,50492,2,1522,Other Waste Biomass,0.0,2.3,0,0,13.9,-9.5,32.679172,-117.246698,2.300000996,0.23
