Plant state abbreviation,DOE/EIA ORIS plant or facility code,Utility ID,Plant latitude,Plant longitude,Plant primary fuel,Plant primary coal/oil/gas/ other fossil fuel category,Plant annual net generation,Plant annual CO2 emissions,plant_emission_rate
CA,59942,63249,34.6608,-118.0836,SUN,SOLAR,2930.0,0.0,0.0
CA,260,54802,36.804837,-121.782241,NG,GAS,5220833.0,2136663.281,0.40925715896294707
CA,61353,60986,32.6685,-115.6292,SUN,SOLAR,32264.0,0.0,0.0
CA,61202,63447,32.678805,-115.56721,SUN,SOLAR,624531.0,0.0,0.0
CA,55719,19740,33.9211,-116.5642,WND,WIND,196597.0,0.0,0.0
CA,56112,15399,33.9141,-116.5914,WND,WIND,67870.0,0.0,0.0
CA,57459,19740,33.8816,-116.5527,WND,WIND,172485.0,0.0,0.0
CA,358,17609,34.0818,-117.2418,NG,GAS,3040688.1,1339493.312,0.44052308817862634
CA,54626,13060,35.576323,-119.006245,WDS,BIOMASS,291756.0,2048.164,0.007020126406997629
CA,10458,63235,40.976389,-121.255833,WAT,HYDRO,83310.0,0.0,0.0
CA,50674,14395,33.8247,-116.5106,NG,GAS,4151.0,2554.376,0.6153640086726091
CA,60412,58135,36.2647,-117.9955,SUN,SOLAR,9851.0,0.0,0.0
CA,261,19586,38.147093,-120.446396,WAT,HYDRO,14963.0,0.0,0.0
CA,57833,56215,35.030855,-118.293188,WND,WIND,264116.0,0.0,0.0
CA,50352,12850,35.798576,-120.883331,WAT,HYDRO,13218.0,0.0,0.0
CA,455,21140,39.238996,-121.270409,WAT,HYDRO,266252.0,0.0,0.0
CA,262,14328,39.2364,-121.271741,WAT,HYDRO,47007.0,0.0,0.0
CA,61894,61510,36.624512,-119.673088,SUN,SOLAR,5199.999,0.0,0.0
CA,58610,58661,34.551111,-117.191111,SUN,SOLAR,4314.0,0.0,0.0
CA,57764,57073,35.68771,-117.68137,SUN,SOLAR,23952.0,0.0,0.0
CA,50963,2844,32.7261,-117.1464,NG,GAS,18086.0,6990.593,0.38651957315050317
CA,7449,40613,38.088138,-121.386944,NG,GAS,12758.0,6576.242,0.515460260228876
CA,50223,13353,41.028893,-121.892351,WAT,HYDRO,2574.0,0.0,0.0
CA,50755,12745,38.149582,-120.814942,WAT,HYDRO,10385.0,0.0,0.0
CA,6158,2518,37.946927,-120.528211,WAT,HYDRO,748456.0,0.0,0.0
CA,58226,58197,34.853581,-116.683108,SUN,SOLAR,2966.0,0.0,0.0
CA,632,14328,38.835182,-121.092982,WAT,HYDRO,21393.0,0.0,0.0
CA,10427,22091,34.045361,-117.540193,NG,GAS,231048.001,84053.45,0.36379215416799904
CA,60981,60614,36.381775,-120.134486,SUN,SOLAR,50747.0,0.0,0.0
CA,63363,62067,37.894817,-121.24891,SUN,SOLAR,1492.0,0.0,0.0
CA,58034,57405,35.647295,-119.716512,SUN,SOLAR,2423.0,0.0,0.0
CA,59600,60185,35.835833,-119.056111,SUN,SOLAR,50194.0,0.0,0.0
CA,56569,9216,33.238842,-115.504456,NG,GAS,85406.0,47761.607,0.5592301126384563
CA,444,2518,38.63735,-121.220198,WAT,HYDRO,40279.0,0.0,0.0
CA,59652,11208,34.236667,-118.565833,SUN,SOLAR,1071.0,0.0,0.0
CA,58748,58661,38.300556,-121.966389,SUN,SOLAR,2383.0,0.0,0.0
CA,56832,34691,33.0139,-115.5439,GEO,GEOTHERMAL,55693.0,0.0,0.0
CA,60571,16764,32.877822,-117.197788,LFG,BIOMASS,3871.0,0.0,0.0
CA,55602,16764,32.8817,-117.1958,LFG,BIOMASS,26540.0,0.001,3.767897513187641e-08
CA,63651,63344,35.780407,-119.30875,SUN,SOLAR,7313.0,0.0,0.0
CA,59962,58661,34.719538,-118.31301,SUN,SOLAR,38878.0,0.0,0.0
CA,57743,60025,33.924167,-116.593333,SUN,SOLAR,5670.0,0.0,0.0
CA,57722,60025,33.909722,-116.5625,SUN,SOLAR,9742.0,0.0,0.0
CA,59879,61943,34.862,-118.38,SUN,SOLAR,234168.0,0.0,0.0
CA,58154,58121,35.347778,-118.186389,WND,WIND,425137.0,0.0,0.0
CA,58713,17650,36.73,-120.41,SUN,SOLAR,149669.0,0.0,0.0
CA,50831,13876,37.9676,-122.382,LFG,BIOMASS,1128.999,0.001,8.857403770951081e-07
CA,58448,58440,34.509167,-117.154444,SUN,SOLAR,2664.0,0.0,0.0
CA,50754,13938,35.043889,-118.276388,WND,WIND,58543.001,0.0,0.0
CA,626,14328,40.07531,-121.16143,WAT,HYDRO,4311.0,0.0,0.0
CA,58376,58363,38.001667,-121.747778,SUN,SOLAR,2292.0,0.0,0.0
CA,56302,2770,35.06094,-118.292406,WND,WIND,148722.0,0.0,0.0
CA,57311,59551,34.1283,-118.206903,SUN,SOLAR,1767.0,0.0,0.0
CA,57514,56545,32.752778,-116.044722,WND,WIND,593148.0,0.0,0.0
CA,10884,11216,34.326242,-118.44477,NG,GAS,14279.0,4712.185,0.3300080537852791
CA,50850,14265,33.989626,-117.680911,NG,GAS,2360.0,1221.743,0.5176877118644068
CA,50180,60821,40.670536,-121.890645,WAT,HYDRO,14168.0,0.0,0.0
CA,58581,58540,34.043889,-117.531111,SUN,SOLAR,1559.0,0.0,0.0
CA,58582,58540,34.05,-117.596111,SUN,SOLAR,2837.0,0.0,0.0
CA,58607,58564,37.793333,-122.394167,NG,GAS,1656.0,540.632,0.3264685990338164
CA,61419,61058,34.615622,-117.936594,SUN,SOLAR,5833.0,0.0,0.0
CA,56914,56127,33.3594,-117.1114,NG,GAS,19385.0,12887.72,0.6648295073510446
CA,58718,58654,35.150694,-118.875,SUN,SOLAR,27156.0,0.0,0.0
CA,58721,58655,35.150694,-118.875278,SUN,SOLAR,7718.0,0.0,0.0
CA,50766,34691,32.8156,-115.2568,GEO,GEOTHERMAL,64698.0,0.0,0.0
CA,54724,34691,32.7881,-115.2481,GEO,GEOTHERMAL,67933.0,0.0,0.0
CA,350,15908,34.1292,-119.1689,NG,GAS,160849.0,107536.035,0.6685527109276402
CA,59915,56769,36.876847,-120.667608,SUN,SOLAR,46590.0,0.0,0.0
CA,54477,14173,39.492,-121.5628,NG,GAS,137.998,44.23,0.32051189147668807
CA,52204,57165,32.5983,-117.0178,LFG,BIOMASS,28559.002,0.001,3.5015229173624486e-08
CA,55345,14274,32.581481,-116.914969,NG,GAS,751803.0,329355.578,0.43808760805689784
CA,58612,58661,34.545,-117.191944,SUN,SOLAR,3494.0,0.0,0.0
CA,60953,11208,36.275144,-118.012151,SUN,SOLAR,2819.0,0.0,0.0
CA,426,15127,39.003372,-120.746651,WAT,HYDRO,36392.0,0.0,0.0
CA,50464,15375,34.196,-119.1667,NG,GAS,536189.0,206669.186,0.38544092847857747
CA,57585,58264,34.1414,-119.1831,NG,GAS,183955.0,60180.208,0.3271463564458699
CA,50224,22045,34.140501,-119.184529,OBG,BIOMASS,6375.0,561.623,0.08809772549019608
CA,59456,59222,32.894722,-117.198056,NG,GAS,34422.0,13321.799,0.38701408982627394
